Sample Name,Date Received,Container,Sample LIMS ID,Progress,Investigator Sample Name,Replicate Sample Id,Notes
109948,"Jun 23, 2014",27-25159,NIC1102A6433,,S393328021,MC00846X,1/A/1
109949,"Jun 23, 2014",27-25160,NIC1102A6434,,S612922962,MC00109X,1/A/15
109950,"Jun 23, 2014",27-25161,NIC1102A6435,,S479637185,MC00284X,1/A/3
109951,"Jun 23, 2014",27-25162,NIC1102A6436,,S895783598,MC00270X,1/A/4
109952,"Jun 23, 2014",27-25163,NIC1102A6437,,S020187487,MC00600X,1/A/6
109953,"Jun 23, 2014",27-25164,NIC1102A6438,,S880608453,MC00822X,1/A/9
109954,"Jun 23, 2014",27-25165,NIC1102A6439,,S406724380,MC00639X,1/B/11
109955,"Jun 23, 2014",27-25166,NIC1102A6440,,S748437108,MC00498X,1/B/12
109956,"Jun 23, 2014",27-25167,NIC1102A6441,,S930244406,MC00197X,1/B/14
109957,"Jun 23, 2014",27-25168,NIC1102A6442,,S142138704,MC00089X,1/B/7
109958,"Jun 23, 2014",27-25169,NIC1102A6443,,S801913700,MC00365X,1/C/1
109959,"Jun 23, 2014",27-25170,NIC1102A6444,,S367023910,MC00208X,1/C/12
109960,"Jun 23, 2014",27-25171,NIC1102A6445,,S633224941,MC00083X,1/C/6
109961,"Jun 23, 2014",27-25172,NIC1102A6446,,S803527637,MC00288X,1/D/1
109962,"Jun 23, 2014",27-25173,NIC1102A6447,,S392801785,MC00106X,1/D/14
109963,"Jun 23, 2014",27-25174,NIC1102A6448,,S446861195,MC00764X,1/D/2
109964,"Jun 23, 2014",27-25175,NIC1102A6449,,S864105409,MC00119X,1/D/3
109965,"Jun 23, 2014",27-25176,NIC1102A6450,,S619208648,MC00015X,1/D/8
109966,"Jun 23, 2014",27-25177,NIC1102A6451,,S753666110,MC00405X,1/D/9
109967,"Jun 23, 2014",27-25178,NIC1102A6452,,S861561895,MC00716X,1/E/1
109968,"Jun 23, 2014",27-25179,NIC1102A6453,,S264951713,MC00643X,1/E/11
109969,"Jun 23, 2014",27-25180,NIC1102A6454,,S417721154,MC00082X,1/E/12
109970,"Jun 23, 2014",27-25181,NIC1102A6455,,S506023635,MC00814X,1/E/14
109971,"Jun 23, 2014",27-25182,NIC1102A6456,,S980666988,MC00344X,1/E/15
109972,"Jun 23, 2014",27-25183,NIC1102A6457,,S100574453,MC00499X,1/E/6
109973,"Jun 23, 2014",27-25184,NIC1102A6458,,S324237417,MC00195X,1/E/7
109974,"Jun 23, 2014",27-25185,NIC1102A6459,,S364734757,MC00129X,1/E/9
109975,"Jun 23, 2014",27-25186,NIC1102A6460,,S211838474,MC00089X,1/F/13
109976,"Jun 23, 2014",27-25187,NIC1102A6461,,S218715273,MC00628X,1/F/7
109977,"Jun 23, 2014",27-25188,NIC1102A6462,,S935666777,MC00185X,1/G/1
109978,"Jun 23, 2014",27-25189,NIC1102A6463,,S849624053,MC00198X,1/G/12
109979,"Jun 23, 2014",27-25190,NIC1102A6464,,S116840864,MC00555X,1/G/13
109980,"Jun 23, 2014",27-25191,NIC1102A6465,,S542183699,MC00627X,1/G/15
109981,"Jun 23, 2014",27-25192,NIC1102A6466,,S261109508,MC00671X,1/G/5
109982,"Jun 23, 2014",27-25193,NIC1102A6467,,S282985160,MC00126X,1/G/9
109983,"Jun 23, 2014",27-25194,NIC1102A6468,,S425239250,MC00251X,1/H/1
109984,"Jun 23, 2014",27-25195,NIC1102A6469,,S574351905,MC00074X,1/H/11
109985,"Jun 23, 2014",27-25196,NIC1102A6470,,S449437376,MC00929X,1/H/14
109986,"Jun 23, 2014",27-25197,NIC1102A6471,,S203380518,MC00485X,1/H/15
109987,"Jun 23, 2014",27-25198,NIC1102A6472,,S330842354,MC00938X,1/H/4
109988,"Jun 23, 2014",27-25199,NIC1102A6473,,S824800974,MC00963X,1/H/7
109989,"Jun 23, 2014",27-25200,NIC1102A6474,,S908900956,MC00063X,1/H/9
109990,"Jun 23, 2014",27-25201,NIC1102A6475,,S380973620,MC00644X,1/I/10
109991,"Jun 23, 2014",27-25202,NIC1102A6476,,S725460668,MC00509X,1/I/4
109992,"Jun 23, 2014",27-25203,NIC1102A6477,,S863023225,MC00063X,1/I/6
109993,"Jun 23, 2014",27-25204,NIC1102A6478,,S079999776,MC00416X,1/I/9
109994,"Jun 23, 2014",27-25205,NIC1102A6479,,S884156416,MC00469X,1/J/12
109995,"Jun 23, 2014",27-25206,NIC1102A6480,,S194912837,MC00295X,1/J/13
109996,"Jun 23, 2014",27-25207,NIC1102A6481,,S374037805,MC00335X,1/J/2
109997,"Jun 23, 2014",27-25208,NIC1102A6482,,S889811698,MC00169X,1/J/3
